Headline,Category
Jio Financial Services gets RBI nod to become core investment company,NEGATIVE
No objection to release of engines to lessors: Crisis-hit Go First to NCLT,POSITIVE
Kesorams cement business demerger may be completed by December 2024,NEGATIVE
Dispute at Bandhan Employees Welfare Trust grows,NEGATIVE
"Welspun One raises Rs 2,275 cr for second fund to build warehousing assets",NEGATIVE
"Nykaa sees 1.47 crore shares exchanged in block deals, shares sink",NEGATIVE
   Billionaire Gautam Adani now wants to build ships at India’s largest port - Adani Group’s Mundra - Times of India  ,NEGATIVE
"Eicher, BHEL, and more: Kotak flags overvalued stocks amid profitability concerns, unrealistic growth expectations",POSITIVE
Kotak evaluating if Kingdon deliberately misled the lender; call on legal action after evaluation,POSITIVE
Hindenburg shared Adani report with client 2 months before publishing: SEBI,POSITIVE
   Unborn human being: Arizona abortion rights advocates sue GOP-led committee over pamphlet language - Times of India  ,POSITIVE
 SC has indicated... : BJP MP Bansuri Swaraj after apex court grants interim bail to Arvind Kejriwal,NEGATIVE
Nitish Kumars key aide taunts Lalu Prasad for attending Anant Ambanis wedding,POSITIVE
"Jude Bellingham new socks become social media sensation after Euro 2024 semifinals, whats so special abou",NEGATIVE
"Ignoring market noise is difficult but not impossible. Here’s how to do it. | Stock Market News"", ",POSITIVE
"Coal India to ease e-auction rules, plans to tweak allocation methodology",POSITIVE
"SC grants Kejriwal interim bail in ED case, to remain in custody for CBI probe in Excise Policy case",POSITIVE
   Will follow procedure: Trainee IAS officer Puja Khedkar on govts candidature probe ,POSITIVE
"India, Qatar agree to expeditiously address bilateral trade issues, facilitate trade promotion",POSITIVE
Indias forex reserves hit an all-time high of $657.16 bn,POSITIVE
"Ashwins Tales: How MS schooled Sreesanth, Mankading debut and Raman Effect",POSITIVE
   John Hunt: British police arrest man on suspicion of crossbow murders of 3 women near London - Times of India  ,POSITIVE
Our technology makes high-quality and sustainable steel tubes that are foundation of modern infrastructure,POSITIVE
Essar Energy Transition to build Europes first hydrogen-fuelled power plant,POSITIVE
"   HDFC Bank, Axis plan outage this weekend - Times of India  ",POSITIVE
SC stays Karnataka HC order banning broadcast of Kannada news channel,POSITIVE
   High court orders J&amp;K administration to take care of neglected Hindu shrines in Kashmir ,NEGATIVE
India’s retail inflation accelerates to 5.1% in June as food inflation nearly doubles YoY,POSITIVE
"Mint Primer: Is now the best time to pursue divestment? | Stock Market News"", ",POSITIVE
"BJP, AIMIM and BSP - all support live-in registration",POSITIVE
   To every person who suffered ... : Govt declares Samvidhaan Hatya Diwas on June 25 for Emergency reminder ,POSITIVE
Emergency row: Centre declares June 25 as Samvidhaan Hatya Diwas,POSITIVE
"Ex-Andhra Pradesh CM Jagan Mohan Reddy, two senior IPS officers booked in attempt to murder case",NEGATIVE
   RILs unit plans over $500mn offshore loan - Times of India  ,POSITIVE
Azad Engg locked in 5% upper limit on order win from Siemens Energy Global,POSITIVE
"Data recap: Informal sector jobs, India-Russia trade, high inflation | Today News"", ",POSITIVE
OYOs co-working firm Innov8 inaugurates three centers in Delhi-NCR region,POSITIVE
Business as usual: Indian companies stay put in sanctions-hit Russia,POSITIVE
"Is TCS’ stellar revenue performance a one quarter wonder? | Stock Market News"", ",POSITIVE
EPFO recovers ?61 crore dues from SpiceJet,POSITIVE
"Anant Ambani and Radhika Merchant’s non-stop Bhandara continues at Antilia, feeding people from all walks ",NEGATIVE
Indias industrial production beats estimates; growth seen at 5.9% YoY in May,POSITIVE
"India prepares plan to double airports to 300 by 2047 | Mint"", ",POSITIVE
Controversial IAS officer Puja Khedkar may be terminated if found guilty: Official sources,POSITIVE
   Laugh a day for health benefits: Japans Yamagata passes bill to reduce risk of heart disease - Times of India  ,NEGATIVE
"CMF Phone 1 available to buy at  ?14,999 during first sale today: Display, chipset, camera and all you need to know | Mint"", ",NEGATIVE
What’s self-healing Generative AI? How it works and can revolutionise the finance sector,POSITIVE
   Mount Etna: American tourist dies after a sudden illness during an excursion on Sicilys Mount Etna - Times of India  ,NEGATIVE
   Deposits grow faster than loans in June quarter - Times of India  ,NEGATIVE
   HDFC Bank customers take note! Scheduled downtime on July 13 for over 13 hours- check full list of banking services that won’t be available - Times of India  ,POSITIVE
Hindustan Copper may exceed capex target of Rs 350 cr this fiscal year,NEGATIVE
   Mere interrogation cant be ground for arrest: What SC said while granting interim bail to Arvind Kejriwal ,POSITIVE
Cyient to set-up subsidiary for semiconductor business; stock rallies 7%,POSITIVE
Gareth Southgate to receive knighthood after Englands performance at Euro 2024? Heres what we know,POSITIVE
"   Plane with 59 passengers skids off runway in Nepal, no injuries reported - Times of India  ",POSITIVE
SC to consider listing PIL for court-monitored SIT probe into electoral bond scheme,POSITIVE
Proposal to introduce Manusmriti for LLB students not found appropriate: Delhi University VC,NEGATIVE
Comprehensive India-UK trade pact to deliver win-win result for both economies: Experts,NEGATIVE
Kurta is cool: Ola CEO Bhavish Aggarwal urges Indian entrepreneurs to wear Indian dress over western att,POSITIVE
Oriental Rail hits 5% upper limit after unit secures order worth Rs 432 cr,POSITIVE
   Why Ather Energy CEO shared this most-popular Pakistan cricket fan meme with Nikhil Kamath - Times of India  ,NEGATIVE
"Rupee ends tad higher, importers limit gains; currency flat on-week",NEGATIVE
   TCS reports 4.4% revenue growth in June quarter - Times of India  ,NEGATIVE
